year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,Nebraska,NE,2,0,106296,194775,0.545737389,1976-NE-2,,,,,
1976,Nebraska,NE,3,4,150720,206765,0.728943487,1976-NE-3,,,,,
1976,New Hampshire,NH,1,0,107806,158242,0.681272987,1976-NH-1,,,,,
1976,New Hampshire,NH,2,4,100911,166703,0.605334037,1976-NH-2,,,,,
1976,New Jersey,NJ,1,0,136624,194898,0.701002576,1976-NJ-1,,,,,
1976,New Jersey,NJ,2,0,141753,229668,0.617208318,1976-NJ-2,,,,,
1976,New Jersey,NJ,3,0,127164,204739,0.621102965,1976-NJ-3,,,,,
1976,New Jersey,NJ,4,0,113281,170868,0.662973758,1976-NJ-4,,,,,
1976,New Jersey,NJ,5,4,137803,206106,0.668602564,1976-NJ-5,,,,,
1976,New Jersey,NJ,6,4,125920,214304,0.587576527,1976-NJ-6,,,,,
1976,New Jersey,NJ,7,0,120526,213150,0.56545156,1976-NJ-7,,,,,
1976,New Jersey,NJ,8,0,108841,154196,0.705861371,1976-NJ-8,,,,,
1976,New Jersey,NJ,9,4,107454,202344,0.531046139,1976-NJ-9,,,,,
1976,New Jersey,NJ,10,0,88245,106775,0.826457504,1976-NJ-10,,,,,
1976,New Jersey,NJ,11,0,129026,190808,0.676208545,1976-NJ-11,,,,,
1976,New Jersey,NJ,12,4,136973,187282,0.73137301,1976-NJ-12,,,,,
1976,New Jersey,NJ,13,0,105291,209051,0.503661786,1976-NJ-13,,,,,
1976,New Jersey,NJ,14,0,73174,146768,0.49856917,1976-NJ-14,,,,,
1976,New Jersey,NJ,15,0,106170,179836,0.590371227,1976-NJ-15,,,,,
1976,New Mexico,NM,1,4,162587,225546,0.720859603,1976-NM-1,,,,,
1976,New Mexico,NM,2,0,123563,175694,0.703285257,1976-NM-2,,,,,
1976,New York,NY,1,0,129779,207468,0.625537432,1976-NY-1,,,,,
1976,New York,NY,2,0,90172,159902,0.563920401,1976-NY-2,,,,,
1976,New York,NY,3,0,94265,181439,0.519541003,1976-NY-3,,,,,
1976,New York,NY,4,4,91304,190029,0.480474033,1976-NY-4,,,,,
1976,New York,NY,5,4,98337,198234,0.496065256,1976-NY-5,,,,,
1976,New York,NY,6,0,104374,181947,0.573650569,1976-NY-6,,,,,
1976,New York,NY,7,0,82107,113373,0.724220052,1976-NY-7,,,,,
1976,New York,NY,8,0,98954,137861,0.717780953,1976-NY-8,,,,,
1976,New York,NY,9,0,53418,115195,0.463718043,1976-NY-9,,,,,
1976,New York,NY,10,0,69019,115962,0.595186354,1976-NY-10,,,,,
1976,New York,NY,11,0,84770,114458,0.740621014,1976-NY-11,,,,,
1976,New York,NY,12,0,41297,49632,0.832063991,1976-NY-12,,,,,
1976,New York,NY,13,0,102662,132224,0.776424855,1976-NY-13,,,,,
1976,New York,NY,14,0,51934,65591,0.791785458,1976-NY-14,,,,,
1976,New York,NY,15,0,59350,109487,0.542073488,1976-NY-15,,,,,
1976,New York,NY,16,0,86992,113418,0.767003474,1976-NY-16,,,,,
1976,New York,NY,17,0,89126,135915,0.655748078,1976-NY-17,,,,,
1976,New York,NY,18,0,98813,149422,0.661301549,1976-NY-18,,,,,
1976,New York,NY,19,0,77849,94481,0.823964607,1976-NY-19,,,,,
1976,New York,NY,20,0,82501,110490,0.746682958,1976-NY-20,,,,,
1976,New York,NY,21,0,37184,41883,0.887806509,1976-NY-21,,,,,
1976,New York,NY,22,0,86381,106592,0.810389147,1976-NY-22,,,,,
1976,New York,NY,23,4,78601,173430,0.453214553,1976-NY-23,,,,,
1976,New York,NY,24,0,99761,183012,0.545106332,1976-NY-24,,,,,
1976,New York,NY,25,4,122958,197605,0.62224134,1976-NY-25,,,,,
1976,New York,NY,26,4,120049,183981,0.652507596,1976-NY-26,,,,,
1976,New York,NY,27,0,121763,190674,0.638592572,1976-NY-27,,,,,
1976,New York,NY,28,0,170034,215162,0.790260362,1976-NY-28,,,,,
1976,New York,NY,29,4,96476,214222,0.450355239,1976-NY-29,,,,,
1976,New York,NY,30,4,89493,171515,0.521779436,1976-NY-30,,,,,
1976,New York,NY,31,4,115464,185175,0.623539895,1976-NY-31,,,,,
1976,New York,NY,32,0,101419,185140,0.547796262,1976-NY-32,,,,,
