STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
MA,3,3,1,31384,9225,1544,63402,1,0,5674,129453,0,47303,2621,3619,1,45612,10183,0,796,58608,0,3269,0,0,1527,393,313132,0,9012,6555,7227,30,238498,0,,20466
MA,3,4,1,35232,9225,1854,68888,0,0,6702,145174,0,53645,2572,4672,1,51916,11938,0,462,62219,0,3335,1,1,1572,763,352620,0,8618,7995,8122,30,275449,0,,23207
MA,3,5,1,35226,9225,3191,58133,0,0,8293,146136,0,55400,1581,7498,1,54145,15472,0,395,44593,0,3562,4,1,1230,916,361755,0,3858,10925,7664,30,314999,1766,,27639
MA,3,6,1,29306,9225,978,56020,0,1,5144,114591,0,40201,1293,3102,1,40997,8647,0,313,49749,0,3306,0,0,279,851,266416,0,2740,5734,7351,30,238709,0,,18949
MA,3,7,1,23559,9225,5232,60093,0,1,6131,133319,0,46744,1082,4647,1,50894,12157,0,136,49288,0,3279,1,0,1125,2300,312805,19051715,2203,8378,8937,30,290531,0,,24604
MA,3,8,1,31212,9225,2751,51854,0,1,7269,129169,0,48816,1400,6502,1,47793,13518,0,83,40083,0,3562,0,0,1056,3843,318975,0,3397,9529,6835,30,278051,0,,24307
MA,3,9,1,36187,9225,5621,65197,0,1,10245,132164,0,50709,3539,3428,1,44377,11217,0,3634,48193,1,2892,9,2,2176,90,327969,0,8358,7220,7911,30,210043,0,,21977
MA,3,10,1,14028,9225,9948,51975,1,1,7456,141034,0,48534,733,7613,1,56682,16600,0,144,35933,0,3562,0,0,2231,2389,343957,19051715,1738,11769,8824,30,320645,1011,,28549
MA,3,11,1,16522,9225,10541,57645,1,1,7969,152192,0,54193,827,7943,1,61346,17891,0,94,39517,0,3328,0,0,2418,3939,370276,19051715,1819,12827,9714,30,348133,0,,32037
MA,3,12,1,19195,9225,9013,30524,1,1,4045,83517,0,29244,85,4366,1,39057,10553,0,11,18842,0,3251,5,0,1827,18177,199945,19051715,0,7639,6137,30,199945,0,,18996
MA,3,13,1,31277,9225,10625,74060,1,1,11919,203573,0,77393,2011,11177,1,76669,22695,0,741,54982,0,3387,1,0,2400,682,505701,19051715,5363,15437,11128,30,428786,321,,35853
MA,3,14,1,32711,9225,3889,76121,0,0,8430,142459,0,50378,2360,4050,1,49826,10628,0,770,62707,0,3220,0,0,410,434,333836,0,6102,7111,9006,30,279521,0,,21097
NH,4,0,,,,731,103617,,,,216960,,87570,12391,,,,19413,0,9017,,,,,,548,59,533242,,,,14279,25,,,,
NH,4,1,1,27821,694,435,53103,0,1,6261,108223,0,41851,5521,2484,1,28053,10014,0,2888,42557,0,2980,4,1,384,90,261149,0,20314,5407,7243,25,159865,145,84000,16226
NH,4,2,1,29952,694,296,51706,0,0,5999,108737,0,45719,6870,2570,1,28771,9399,0,6126,39327,0,2814,0,0,164,44,272093,0,26856,6229,7036,25,146955,0,,15745
RI,5,0,,,,13903,161969,,,,328015,,115165,3734,,,,27524,0,1058,,,,,,16554,748,791896,,,,23503,28,,,,
RI,5,1,1,33885,1224,7568,75397,1,1,7742,155183,0,54700,1867,4455,1,26209,13186,0,226,61867,0,3133,6,1,10431,1673,378105,0,5440,8209,11274,28,323367,393,132000,26032
RI,5,2,1,36792,1224,6336,86572,1,0,9069,172833,0,60465,1868,4859,1,27386,14339,0,832,72109,0,3125,2,1,6123,497,413792,0,4898,8955,12230,28,343566,0,,28447
VT,6,0,,,,443,51709,,,,145190,,67400,24596,,,,12416,0,9278,,,,,,364,41,377747,,,,7913,20,,,,
VT,6,1,1,39534,418,443,51709,0,0,7791,145190,0,67400,24596,3446,1,27254,12416,0,9278,33705,0,2573,2,1,364,41,377747,0,81132,9419,7913,20,137612,201,49000,24285
DE,11,0,,,,43598,52762,,,,130694,,49885,10626,,,,10146,0,1978,,,,,,433,161,318085,,,,4057,19,,,,
DE,11,1,2,26320,676,43598,52762,0,1,10494,130694,0,49885,10626,3984,1,13512,10146,0,1978,41076,0,3155,4,2,433,161,318085,0,84738,9671,4057,19,199122,297,48000,22897
NJ,12,0,,,,318565,893077,,,,2067912,,700295,44379,,,,161720,0,7522,,,,,,34376,643,4835329,,,,105280,36,,,,
