STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,13,34,0,3,40094,83168,11767,56485,0,0,8242,169537,0,85843,1424,0.00036324,30818,16651,5276,792,55197,0,6691,0,0,1687,0,534.1262626,423028,0,7992,6802,7144,39,342192,488,60984,29554
NY,13,35,0,3,49251,83168,3382,58131,0,1,7338,152032,0,83445,8914,0.00036324,21222,19568,5276,4854,45114,0,5402,1,0,321,0,79.55253399,386148,0,51064,3995,9762,39,162417,1700,47969,23572
NY,13,36,0,3,46954,83168,13650,59132,1,1,7339,168663,0,81202,2114,0.00036324,41827,14971,5276,867,63540,0,6941,1,0,68,0,473.982699,410943,0,12481,3642,8577,39,335220,0,107194,27537
NY,13,37,0,3,43005,83168,15900,66725,1,1,7580,164307,0,87466,4980,0.00036324,27439,17013,5276,2546,62634,0,6513,1,0,103,0,161.2065986,410432,0,28928,4188,8955,39,257364,240,-6,23017
NY,13,38,0,3,45681,83168,2750,58750,0,1,6909,146557,0,84672,6351,0.00036324,16374,16668,5276,5202,49813,0,5455,0,0,107,0,73.48654364,382277,0,40222,5625,8663,39,169631,1307,48716,21598
NY,13,39,0,3,36116,83168,1906,61944,1,1,8834,166775,0,96422,1656,0.00036324,28444,17255,5276,960,56147,0,6942,0,0,617,0,454.4197917,436243,17849513,10965,8642,8064,39,309502,0,183121,30267
NY,13,40,0,3,34090,83168,8424,65715,1,1,12140,169021,0,93782,1037,0.00036324,42599,15595,5276,596,65557,0,6901,0,0,1993,0,730.3389262,435282,17849513,8024,4555,9688,39,366838,0,-6,26823
NY,13,41,0,3,47732,83168,72580,71745,1,1,6414,174580,0,80635,52,0.00036324,43729,15161,5276,31,59462,0,5499,0,0,223,0,14046.19355,435432,17849513,0,9676,16188,39,435432,0,-6,27957
PA,14,0,0,,1128525,25019,852750,1798921,0,0,205205,4401898,0,2331909,57055,,603490,412478,7096,45007,1502885,0,5719,0,0,17910,,251.5023441,11319366,0,356273,187729,274690,39,8102890,0,1552378,707896
PA,14,1,0,2,43141,25019,96129,71666,1,0,6401,170919,0,76894,13,1.17290196,41277,21172,7096,25,55453,0,5580,6,2,6247,0,16727.68,418192,47734820,0,9166,11164,39,418192,0,271440,29224
PA,14,2,0,2,41268,25019,232420,52257,1,0,7548,175041,0,70955,38,1.17290196,25940,19114,7096,16,35953,0,4752,0,0,509,0,24874.6875,397995,47734820,0,6060,14414,39,397995,488,-6,29607
PA,14,3,0,2,42060,25019,164752,66102,1,0,6899,167361,0,80641,20,1.17290196,27445,15136,7096,24,54146,0,5105,0,0,378,0,16958.04167,406993,47734820,0,6754,14295,39,406993,0,-6,23859
PA,14,4,0,2,38620,25019,22207,49336,1,0,6697,161288,0,73118,52,1.17290196,41490,18830,7096,41,50094,0,6929,0,0,344,0,9442.829268,387156,47734820,0,5931,5664,39,387156,0,-6,35563
PA,14,5,0,2,43714,25019,13732,69140,1,0,5712,168379,0,72126,19,1.17290196,42275,16193,7096,21,66278,0,6206,0,0,289,0,18675.04762,392176,47734820,0,8218,8853,39,392176,0,-6,31028
PA,14,6,0,2,62078,25019,5190,114937,0,0,9994,232281,0,105321,3609,1.17290196,20240,17251,7096,2101,90857,0,5194,0,0,141,0,263.0076154,552579,0,22508,9164,16782,39,335274,0,77522,33456
