STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
PA,14,5,2,43714,24274,13732,69140,1,0,5712,168379,0,72126,19,1.17290196,42275,16193,4339,21,66278,0,6206,0,0,289,0,18675,392176,47734820,0,8218,8853,39,392176,0,1552378,31028
PA,14,6,2,62078,24274,5190,114937,0,0,9994,232281,0,105321,3609,1.17290196,20240,17251,4339,2101,90857,0,5194,0,0,141,0,263,552579,0,22508,9164,16782,39,335274,0,1552378,33456
PA,14,7,2,45124,24274,38529,70180,0,0,10951,214742,0,119412,235,1.17290196,30062,18299,4339,185,72484,0,7289,0,0,746,0,2990,553154,17456904,764,8719,8208,39,530792,0,1552378,35497
PA,14,8,2,42379,24274,6445,94120,0,0,12706,211464,0,115416,2008,1.17290196,24639,15960,4339,964,88093,0,6481,2,0,1245,0,556.1,536103,0,12326,7371,7975,39,412944,0,1552378,33879
PA,14,9,2,46281,24274,20948,83802,0,0,10496,196385,0,101428,7664,1.17290196,11061,15973,4339,1704,73644,0,6107,0,0,1104,1,287,488967,0,45805,5765,5639,39,230229,1602,1552378,28821
PA,14,10,2,44779,24274,1337,61957,0,0,6199,141446,0,76781,5863,1.17290196,20157,12774,4339,4055,45183,0,4820,2,0,224,0,92.2,373894,0,30806,7429,10519,39,238212,0,1552378,22047
PA,14,11,2,38597,24274,1080,59165,0,0,5088,136064,0,66722,652,1.17290196,22675,11376,4339,891,43640,0,4722,0,0,155,0,389.4,346972,0,3748,4331,14144,39,281507,500,1552378,21030
PA,14,12,2,46981,24274,4297,73005,0,0,8461,159370,0,96794,6201,1.17290196,8296,18935,4339,5143,40485,0,4679,1,0,421,1,85.5,439745,0,38985,14968,11231,39,172597,200,1552378,25918
PA,14,13,2,46667,24274,18834,70316,0,0,10305,206311,0,108926,1196,1.17290196,28895,16537,4339,491,77423,0,7632,0,0,881,0,1052.3,516682,0,6194,5371,5145,39,410685,0,1552378,33051
PA,14,14,4,46766,24274,90147,46356,1,0,6718,160705,0,67657,23,4.01888736,30643,13746,4339,29,34857,0,5409,0,0,83,0,13465.9,390512,0,0,6318,14195,39,390512,2051,1552378,28966
PA,14,15,2,32536,24274,2930,62870,0,0,6187,123617,0,59820,1334,1.17290196,19028,8736,4339,1935,57676,0,5447,0,0,503,0,156.6,303026,0,8463,4941,6690,39,185939,0,1552378,15823
PA,14,16,2,36056,24274,21536,60450,0,0,8071,144393,0,73143,2956,1.17290196,7621,28527,4339,1820,40534,0,5559,0,0,1351,0,194.3,353564,0,19036,7429,4878,39,216506,1074,1552378,21998
PA,14,17,2,41928,24274,2921,66749,0,0,7329,153586,0,83128,5882,1.17290196,6345,20667,4339,7131,53224,0,5068,0,0,223,0,57.2,408036,0,35795,5160,9053,39,167598,0,1552378,21211
PA,14,18,4,34201,24274,7214,52433,0,0,8217,150988,0,87715,223,4.01888736,20656,11164,4339,346,49481,0,6715,0,0,384,0,1182.9,409291,0,1211,6781,7681,39,352694,0,1552378,26417
PA,14,19,2,38822,24274,7478,75578,0,0,9716,170751,0,88468,4943,1.17290196,4110,19385,4339,1992,60832,0,5692,3,1,894,0,208.4,415058,0,29966,6657,7207,39,216152,0,1552378,27119
PA,14,20,4,38782,24274,30023,67203,1,0,5526,150702,0,85054,106,4.01888736,30673,10355,4339,117,62181,0,5627,0,0,155,0,3461.5,404997,0,315,7323,10927,39,392591,0,1552378,25047
PA,14,21,4,32834,24274,7091,56038,0,0,5956,124602,0,75750,1232,4.01888736,19963,8159,4339,1023,49834,0,5597,0,0,279,0,344.7,352629,0,7333,4467,11609,39,214801,0,1552378,18385
PA,14,22,4,36248,24274,4845,55459,0,0,4750,120035,0,81869,2153,4.01888736,15527,10553,4339,2176,37038,0,4842,0,0,108,0,164.6,358173,0,15826,4599,11694,39,159548,0,1552378,19381
PA,14,23,4,41611,24274,890,60231,0,0,5953,134701,0,82080,2573,4.01888736,9776,12539,4339,6200,44727,0,5110,0,0,75,0,63.2,372941,0,19048,5195,11009,39,138398,0,1552378,20231
PA,14,24,4,45203,24274,13007,70490,0,1,6351,171178,0,101872,3606,4.01888736,20530,13151,4339,2509,64686,0,5673,0,0,231,0,181.8,456157,0,26010,7038,13042,39,286835,204,1552378,26475
PA,14,25,4,39863,24274,14481,75791,0,0,6737,157248,0,94769,1902,4.01888736,25239,11106,4339,1602,67661,0,5743,0,0,98,1,271.3,434552,0,14318,7415,10439,39,239735,450,1552378,22439
PA,14,26,4,45819,24274,17549,65745,0,0,7196,142751,0,95512,2351,4.01888736,24556,12591,4339,2228,38426,0,4856,0,0,228,0,191.2,426035,0,17121,5962,14664,39,145549,0,1552378,22268
PA,14,27,4,36167,24274,6738,50545,1,0,9041,155590,0,90538,201,4.01888736,24371,14249,4339,238,47995,0,6929,0,0,614,0,1780.6,423787,0,695,9197,7569,39,381280,0,1552378,29156
IL,21,0,,974923,26356,1037470,1462501,0,0,189788,4083148,0,2032956,118700,,686098,366148,6,55930,1241001,0,6566,0,0,41399,,180.2,10081158,0,562845,209297,183676,38,8140826,0,1358236,701708
