ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
2,59921,164253,63395,63955,10,1,1,10501,195616,0,88962,132,7211,29166,36,2.32414784,88920,31377,22418,24,21257,37992,0,9988,0,0,399,,19781.04167,474745,177814618,0,13,NY,2909,11563,7054,40.2,474745,0,51953,37652,1978-NY-10,1978,0,51682,82061,0.629799783,0,69019,115962,0.595186354,0
2,44484,164253,79251,55724,11,1,1,7893,184669,0,107229,173,6868,26376,36,2.32414784,63797,32240,22418,41,22627,35819,0,10834,1,1,933,,11458.29268,469790,177814618,0,13,NY,2745,12042,7013,40.2,469790,0,51125,38808,1978-NY-11,1978,0,55880,75203,0.743055463,0,84770,114458,0.740621014,0
2,27081,164253,358745,55183,12,1,0,4963,152431,0,122611,230,7782,20451,36,2.32414784,47009,29002,22418,7,17583,32447,0,6344,0,0,438,,66456.42857,465195,177814618,0,13,NY,3637,9167,8982,40.2,465195,0,28419,21487,1978-NY-12,1978,0,21406,29277,0.731154148,0,41297,49632,0.832063991,0
2,78590,164253,9671,56097,13,1,1,7009,203084,0,73798,80,7109,34183,36,2.32414784,109916,32002,22418,12,22137,42146,0,10368,0,0,581,,39186.83333,470242,177814618,0,13,NY,2756,11033,8695,40.2,470242,0,53804,42872,1978-NY-13,1978,0,64514,84839,0.760428576,0,102662,132224,0.776424855,0
2,38769,164253,108347,66412,14,1,1,4671,164371,0,106782,199,5691,22578,36,2.32414784,71615,21788,22418,10,13759,47915,0,6959,3,1,1907,,46751.7,467517,177814618,0,13,NY,2338,9672,9599,40.2,467517,0,35785,25565,1978-NY-14,1978,0,29040,40745,0.712725488,0,51934,65591,0.791785458,0
2,64141,164253,24751,61141,15,1,1,7580,189484,0,85345,70,6021,35314,36,2.32414784,99100,25628,22418,13,17269,41428,0,9529,1,1,1217,,35957.92308,467453,177814618,0,13,NY,2338,12035,8185,40.2,467453,1000,49768,32088,1978-NY-15,1978,0,42646,72331,0.589595056,0,59350,109487,0.542073488,0
2,61531,164253,103131,48170,16,1,0,6332,202282,0,82388,162,7209,34078,36,2.32414784,92715,39279,22418,13,27379,33761,0,10504,0,0,490,,35904.30769,466756,177814618,0,13,NY,4691,10366,7619,40.2,466756,0,49022,39332,1978-NY-16,1978,0,52855,72890,0.725133763,0,86992,113418,0.767003474,0
2,45490,164253,30355,51562,17,1,1,7350,189508,0,95501,139,7140,31216,36,2.32414784,70962,36862,22418,62,25061,32030,0,10632,1,1,4152,,7542.83871,467656,177814618,0,13,NY,4661,11979,6652,40.2,467656,0,53601,33005,1978-NY-17,1978,0,54228,99961,0.542491572,0,89126,135915,0.655748078,0
2,73629,164253,19986,25517,18,1,1,4121,268314,0,40771,72,6787,54252,36,2.32414784,91227,26544,22418,6,16392,41958,0,14853,0,0,437,,77922.16667,467533,177814618,0,13,NY,3365,10693,10521,40.2,467533,1030,62937,41179,1978-NY-18,1978,4,57738,114301,0.505139938,0,98813,149422,0.661301549,1
2,53315,164253,274143,47125,19,1,1,4085,187245,0,91635,108,7988,24017,36,2.32414784,42213,31373,22418,7,19932,29999,0,6712,0,0,265,,66696.57143,466876,177814618,0,13,NY,3453,8656,10526,40.2,466876,0,46711,30405,1978-NY-19,1978,0,49344,61991,0.795986514,0,77849,94481,0.823964607,0
2,74023,164253,71671,48142,20,1,1,4143,229307,0,62313,120,5681,31122,36,2.32414784,137358,28171,22418,7,19063,42815,0,9743,0,0,319,,66952.42857,468667,177814618,0,13,NY,3427,8685,10896,40.2,468667,0,24029,43246,1978-NY-20,1978,0,57452,75936,0.756584492,0,82501,110490,0.746682958,0
