STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,36,13,17,0,2,82657,770500,242071,29669,1,0,12046,276890,0,79582,996,8546,24253,28.008056,151995,57725,14427,21,40549,25067,0,32400,0,0,283,0,27544,578424,127030215,0,8630,17613,23692,35.8,578424,479,1650271,38089
NY,36,13,18,0,2,98296,770500,43022,23333,1,0,16000,312392,0,57030,2178,6016,34864,28.008056,152934,42214,14427,94,29925,32441,0,53968,0,0,229,0,6181.074468,581021,127030215,0,6273,14615,14163,35.8,581021,0,1650271,58268
NY,36,13,19,0,2,64536,770500,41806,23893,0,0,19543,306422,0,78696,3646,7495,23957,28.008056,57072,47094,14427,1079,27423,47107,0,57419,2,0,6246,1,537.892493,580386,,974,12176,10755,11260,35.8,391109,662,1650271,52125
NY,36,13,20,0,2,64246,770500,47525,28491,0,0,17034,301878,0,80477,3702,4924,21955,28.008056,70622,52240,14427,1288,32465,39513,0,53782,0,0,402,0,450.3299689,580025,,1790,14851,12661,11898,35.8,352088,0,1650271,58053
NY,36,13,21,0,2,89499,770500,36441,29900,0,0,14595,301022,0,73067,2595,7957,20933,28.008056,30009,76024,14427,1087,23065,30976,0,39150,1,0,739,0,533.8730451,580320,,1895,45002,10380,13718,35.8,465551,331,1650271,55791
NY,36,13,22,0,2,74063,770500,12520,38075,0,0,21451,291866,0,92773,6530,5837,16518,28.008056,19487,54107,14427,6510,23327,45531,0,38589,0,0,1836,0,89.17388633,580522,,8401,24943,10024,14367,35.8,120578,0,1650271,54246
NY,36,13,23,0,2,86769,770500,16290,38495,0,0,15671,270258,0,93668,9914,7362,15123,28.008056,16393,49163,14427,5986,23056,46035,0,31352,1,1,4521,0,96.93601737,580300,,13321,18745,8294,15667,35.8,161589,0,1650271,51754
NY,36,13,24,0,3,68614,770500,15331,40451,0,1,16725,257903,0,99257,9116,9058,8113,2.023195,16727,54981,14427,12393,23741,39685,1,30372,2,2,12970,1,46.83095296,582350,,11665,22182,8548,21041,35.8,2556,0,1650271,49158
NY,36,13,25,0,3,74518,770500,38147,35313,0,1,15235,295657,0,88004,4082,5167,20867,2.023195,23931,43852,14427,1838,24450,47289,0,37404,1,0,767,0,315.68716,581004,,4525,14235,10795,14303,35.8,385855,205,1650271,60254
NY,36,13,26,0,2,76292,770500,32096,33807,0,0,16186,287824,0,80489,3956,5010,13767,28.008056,35311,46787,14427,3083,23634,55048,0,37323,0,0,447,0,188.3036004,580540,,3823,18143,8665,14938,35.8,266649,0,1650271,52374
NY,36,13,27,0,3,74556,770500,14264,41611,0,1,16156,295849,0,89737,7690,6314,14100,2.023195,20202,46636,14427,3593,23747,62433,0,40025,0,0,384,1,161.5132202,580800,,12343,16575,9210,13018,35.8,146574,709,1650271,58563
NY,36,13,28,0,3,75503,770500,80811,34411,0,1,11818,299372,0,78845,1694,3262,18440,2.023195,38785,30060,14427,275,20344,76186,0,41851,0,0,445,0,2110.352727,580347,,268,6454,6938,14427,35.8,559086,0,1650271,54734
NY,36,13,29,0,3,85235,770500,25522,44702,0,1,13295,289569,0,80800,3332,5007,14826,2.023195,27860,40810,14427,1171,23606,62747,0,35193,0,0,655,0,495.1588386,580540,,3942,12197,10016,17192,35.8,385808,0,1650271,59334
NY,36,13,30,0,3,86975,770500,97617,42078,0,1,12614,280120,0,80233,2489,6420,17315,2.023195,19730,43416,14427,724,22680,47850,0,32576,0,0,572,0,802.2348066,582607,,1572,14316,13111,20464,35.8,482613,504,1650271,59531
NY,36,13,31,0,3,85757,770500,13322,44809,0,1,14148,271955,0,98634,10102,4631,8956,2.023195,12246,44187,14427,6587,23201,57561,0,30172,1,0,997,0,88.11294975,588110,,17370,16355,8412,17976,35.8,69882,208,1650271,51389
PA,42,14,1,0,2,72287,190400,296811,34027,1,0,8506,238775,0,83729,1405,14096,16257,28.008056,26093,39035,94068,52,19669,30656,0,24506,0,0,4679,0,10887.17308,566133,37953653,0,5270,11793,27474,27,566133,0,1402128,39134
PA,42,14,2,0,2,84286,190400,352142,28934,1,0,9063,268681,0,65762,1241,14524,20631,28.008056,29018,44946,94068,45,23913,24638,0,30193,1,0,620,0,12560.93333,565242,37953653,0,6509,12994,23696,27,565242,352,1402128,38899
PA,42,14,3,0,2,100394,190400,27217,36947,1,0,14023,268148,0,43817,1092,12556,20223,28.008056,52944,35495,94068,56,19761,41701,0,35441,1,0,621,0,10105.07143,565884,37953653,0,3178,12285,16098,27,565884,0,1402128,59371
