Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
STANDARD,MLP,f1,0.956911024,0.945701357,0.89158086,0.936462507,0.943310658,0.756114605,0.899038462,0.949152542,0.93233945,0.663157895,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,accuracy,0.394849785,0.392703863,0.376609442,0.39055794,0.387339056,0.405579399,0.402360515,0.358369099,0.369098712,0.376609442,0.385407725,0.014208537,0.912311435,0.014909246,0.35279097,0.017706619,0.50852694,0.018096208
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,TP,301,303,293,290,296,320,320,277,282,284,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,FN,532,528,551,538,539,527,531,575,570,551,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,FP,32,38,30,30,32,27,26,23,18,30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,TN,67,63,58,74,65,58,55,57,62,67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,precision,0.903903904,0.88856305,0.907120743,0.90625,0.902439024,0.922190202,0.924855491,0.923333333,0.94,0.904458599,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,recall,0.361344538,0.364620939,0.347156398,0.350241546,0.354491018,0.377804014,0.376028202,0.325117371,0.330985915,0.34011976,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,KNN,f1,0.516295026,0.517064846,0.502142245,0.505226481,0.509028375,0.5360134,0.534670008,0.480902778,0.489583333,0.494342907,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),accuracy,0.673819742,0.598712446,0.689914163,0.682403433,0.683476395,0.630901288,0.568669528,0.556866953,0.572961373,0.388412017,0.604613734,0.087394993,0.962541945,0.013784159,0.584034572,0.103485817,0.72202767,0.089068676
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),TP,562,471,572,552,559,523,460,455,469,286,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),FN,271,360,272,276,276,324,391,397,383,549,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),FP,33,14,17,20,19,20,11,16,15,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),TN,66,87,71,84,78,65,70,64,65,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),precision,0.944537815,0.971134021,0.971137521,0.965034965,0.967128028,0.963167587,0.976645435,0.966029724,0.969008264,0.931596091,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),recall,0.674669868,0.566787004,0.677725118,0.666666667,0.669461078,0.617473436,0.540540541,0.534037559,0.550469484,0.34251497,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Underfitting),f1,0.787114846,0.715805471,0.798325192,0.788571429,0.791224345,0.752517986,0.69591528,0.687830688,0.702095808,0.500875657,,,,,,,,
